Year,Date,Transaction,Player,Type,New Team,NewTeamWFormat
2022,2/10/2022," As part of a 4-team trade, traded by the Detroit Pistons with Trey Lyles to the Sacramento Kings",Josh Jackson,As,no,no
2022,2/10/2022, Waived by the Sacramento Kings.,Jahmi'us Ramsey,Waived,no,no
2022,2/10/2022, Traded by the Boston Celtics with Bruno Fernando and Dennis Schroder to the Houston Rockets for Daniel Theis. Boston also received a trade exception Houston also received a trade exception,Enes Freedom,Traded,no,no
2022,2/10/2022, Traded by the Washington Wizards with Davis Bertans to the Dallas Mavericks for Kristaps Porzingis.,Spencer Dinwiddie,Traded,no,no
2022,2/10/2022," Traded by the Toronto Raptors with a 2022 1st round draft pick ( was later selected) to the San Antonio Spurs for Drew Eubanks, Thaddeus Young and a 2022 2nd round draft pick ( was later selected). Toronto also received a trade exception 2022 2nd-rd pick is DET own 2022 1st-rd pick is top-14 protected",Goran Dragić,,no,no
2022,2/10/2022," Traded by the Boston Celtics with Romeo Langford, a 2022 1st round draft pick ( was later selected) and a 2028 1st round draft pick ( was later selected) to the San Antonio Spurs for Derrick White. Boston also received a trade exception 2022 1st-rd pick is top-4 protected 2028 1st-rd pick is a right to swap",Josh Richardson,,no,no
2022,2/10/2022," Traded by the Boston Celtics with cash, Bol Bol and a 2028 2nd round draft pick ( was later selected) to the Orlando Magic for a 2023 2nd round draft pick ( was later selected). 2028 2nd-rd pick is top-45 protected 2023 2nd-rd pick is top-55 protected, Boston also receives a trade exception",PJ Dozier,,no,no
2022,2/10/2022, Waived by the Orlando Magic.,E'Twaun Moore,Waived,no,no
2022,2/10/2022, Traded by the Charlotte Hornets with Ish Smith to the Washington Wizards for Montrezl Harrell. Washington also received a trade exception,Vernon Carey Jr.,Traded,no,no
2022,2/10/2022, Traded by the Washington Wizards with Spencer Dinwiddie to the Dallas Mavericks for Kristaps Porzingis.,Dāvis Bertāns,Traded,no,no
2022,2/10/2022," As part of a 4-team trade, traded by the Detroit Pistons with Josh Jackson to the Sacramento Kings",Trey Lyles,As,no,no
2022,2/10/2022, Recalled from the Texas Legends of the G-League.,Moses Brown,Recalled,no,no
2022,2/10/2022, Waived by the Oklahoma City Thunder.,Paul Watson,Waived,no,no
2022,2/10/2022, Traded by the Washington Wizards to the Charlotte Hornets for Vernon Carey Jr. and Ish Smith. Washington also received a trade exception,Montrezl Harrell,Traded,no,no
2022,2/10/2022, Traded by the Phoenix Suns with a 2022 2nd round draft pick ( was later selected) to the Indiana Pacers for Torrey Craig. 2022 2nd-rd pick is PHO own,Jalen Smith,Traded,no,no
2022,2/10/2022, Waived by the Toronto Raptors.,Drew Eubanks,Waived,no,no
2022,2/10/2022," Traded by the Brooklyn Nets with James Harden to the Philadelphia 76ers for Seth Curry, Andre Drummond, Ben Simmons, a 2022 1st round draft pick ( was later selected) and a 2027 1st round draft pick ( was later selected). Philadelphia also received a trade exception 2022 1st-rd pick can be deferred to 2023 2027 1st-rd pick is top-8 protected and could turn into cash in 2029",Paul Millsap,,no,no
2022,2/10/2022," Traded by the Philadelphia 76ers with Seth Curry, Ben Simmons, a 2022 1st round draft pick ( was later selected) and a 2027 1st round draft pick ( was later selected) to the Brooklyn Nets for James Harden and Paul Millsap. Philadelphia also received a trade exception 2022 1st-rd pick can be deferred to 2023 2027 1st-rd pick is top-8 protected and could turn into cash in 2029",Andre Drummond,,no,no
2022,2/10/2022," As part of a 4-team trade, traded by the Los Angeles Clippers with cash to the Milwaukee Bucks",Serge Ibaka,As,no,no
2022,2/10/2022, Traded by the Boston Celtics with Enes Freedom and Dennis Schroder to the Houston Rockets for Daniel Theis. Boston also received a trade exception Houston also received a trade exception,Bruno Fernando,Traded,no,no
2022,2/10/2022," Traded by the Boston Celtics with cash, PJ Dozier and a 2028 2nd round draft pick ( was later selected) to the Orlando Magic for a 2023 2nd round draft pick ( was later selected). 2028 2nd-rd pick is top-45 protected 2023 2nd-rd pick is top-55 protected, Boston also receives a trade exception",Bol Bol,,no,no
2022,2/10/2022, Traded by the Washington Wizards to the Phoenix Suns for cash. Washington also received a trade exception,Aaron Holiday,Traded,no,no
2022,2/10/2022," Traded by the San Antonio Spurs to the Boston Celtics for Romeo Langford, Josh Richardson, a 2022 1st round draft pick ( was later selected) and a 2028 1st round draft pick ( was later selected). Boston also received a trade exception 2022 1st-rd pick is top-4 protected 2028 1st-rd pick is a right to swap",Derrick White,,no,no
2022,2/10/2022," Traded by the Philadelphia 76ers with Seth Curry, Andre Drummond, a 2022 1st round draft pick ( was later selected) and a 2027 1st round draft pick ( was later selected) to the Brooklyn Nets for James Harden and Paul Millsap. Philadelphia also received a trade exception 2022 1st-rd pick can be deferred to 2023 2027 1st-rd pick is top-8 protected and could turn into cash in 2029",Ben Simmons,,no,no
2022,2/10/2022, Waived by the Phoenix Suns.,Abdel Nader,Waived,no,no
2022,2/10/2022, Traded by the Dallas Mavericks to the Washington Wizards for Davis Bertans and Spencer Dinwiddie.,Kristaps Porziņģis,Traded,no,no
2022,2/10/2022, Traded by the Charlotte Hornets with Vernon Carey Jr. to the Washington Wizards for Montrezl Harrell. Washington also received a trade exception,Ish Smith,Traded,no,no
2022,2/10/2022, Waived by the Orlando Magic.,Michael Carter-Williams,Waived,no,no
2022,2/10/2022," Traded by the Brooklyn Nets with Paul Millsap to the Philadelphia 76ers for Seth Curry, Andre Drummond, Ben Simmons, a 2022 1st round draft pick ( was later selected) and a 2027 1st round draft pick ( was later selected). Philadelphia also received a trade exception 2022 1st-rd pick can be deferred to 2023 2027 1st-rd pick is top-8 protected and could turn into cash in 2029",James Harden,,no,no
2022,2/10/2022, Traded by the Indiana Pacers to the Phoenix Suns for Jalen Smith and a 2022 2nd round draft pick ( was later selected). 2022 2nd-rd pick is PHO own,Torrey Craig,Traded,no,no
2022,2/10/2022," As part of a 4-team trade, traded by the Milwaukee Bucks with Rodney Hood to the Los Angeles Clippers",Semi Ojeleye,As,no,no
2022,2/10/2022, Waived by the Dallas Mavericks.,Moses Brown,Waived,no,no
2022,2/10/2022, Traded by the Boston Celtics with Bruno Fernando and Enes Freedom to the Houston Rockets for Daniel Theis. Boston also received a trade exception Houston also received a trade exception,Dennis Schröder,Traded,no,no
2022,2/10/2022," As part of a 4-team trade, traded by the Milwaukee Bucks to the Sacramento Kings",Donte DiVincenzo,As,no,no
2022,2/10/2022, Traded by the San Antonio Spurs with Thaddeus Young and a 2022 2nd round draft pick ( was later selected) to the Toronto Raptors for Goran Dragic and a 2022 1st round draft pick ( was later selected). Toronto also received a trade exception 2022 2nd-rd pick is DET own 2022 1st-rd pick is top-14 protected,Drew Eubanks,,no,no
2022,2/10/2022," Traded by the Houston Rockets to the Boston Celtics for Bruno Fernando, Enes Freedom and Dennis Schroder. Boston also received a trade exception Houston also received a trade exception",Daniel Theis,Traded,no,no
2022,2/10/2022, Waived by the Sacramento Kings.,Robert Woodard II,Waived,no,no
2022,2/10/2022, Waived by the Brooklyn Nets.,DeAndre' Bembry,Waived,no,no
2022,2/10/2022, Signed a 10-day contract with the Denver Nuggets.,DeMarcus Cousins,Signed,Denver Nuggets.,Denver Nuggets
2022,2/10/2022," Traded by the Boston Celtics with Josh Richardson, a 2022 1st round draft pick ( was later selected) and a 2028 1st round draft pick ( was later selected) to the San Antonio Spurs for Derrick White. Boston also received a trade exception 2022 1st-rd pick is top-4 protected 2028 1st-rd pick is a right to swap",Romeo Langford,,no,no
2022,2/10/2022, Signed a two-way contract with the Oklahoma City Thunder,Lindy Waters III,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2022,2/10/2022," As part of a 4-team trade, traded by the Milwaukee Bucks with Semi Ojeleye to the Los Angeles Clippers",Rodney Hood,As,no,no
2022,2/10/2022, Traded by the San Antonio Spurs with Drew Eubanks and a 2022 2nd round draft pick ( was later selected) to the Toronto Raptors for Goran Dragic and a 2022 1st round draft pick ( was later selected). Toronto also received a trade exception 2022 2nd-rd pick is DET own 2022 1st-rd pick is top-14 protected,Thaddeus Young,,no,no
2022,2/10/2022, Waived by the Houston Rockets.,D.J. Augustin,Waived,no,no
2022,2/10/2022," As part of a 4-team trade, traded by the Sacramento Kings to the Detroit Pistons",Marvin Bagley III,As,no,no
2014,2/11/2014, Assigned to the of the G-League.,MarShon Brooks,Assigned,no,no
2015,2/11/2015, Recalled from the Bakersfield Jam of the G-League.,Reggie Bullock,Recalled,no,no
2016,2/11/2016, Assigned to the Bakersfield Jam of the G-League.,Jordan McRae,Assigned,no,no
2017,2/11/2017, Recalled from the Delaware Blue Coats of the G-League.,Chasson Randle,Recalled,no,no
2018,2/11/2018, Signed a 10-day contract with the Utah Jazz.,Naz Mitrou-Long,Signed,Utah Jazz.,Utah Jazz
2018,2/11/2018, Waived by the Sacramento Kings.,Joe Johnson,Waived,no,no
2019,2/11/2019, Waived by the Atlanta Hawks.,Jeremy Lin,Waived,no,no
2019,2/11/2019, Signed a contract for the rest of the season with the Cleveland Cavaliers,Nik Stauskas,Signed,Cleveland Cavaliers,Cleveland Cavaliers
2019,2/11/2019, Signed a 10-day contract with the New York Knicks.,John Jenkins,Signed,New York Knicks.,New York Knicks
2019,2/11/2019, Converted from a two-way contract to a regular contract by the Indiana Pacers.,Edmond Sumner,Converted,no,no
2020,2/11/2020, Waived by the Dallas Mavericks.,Ryan Broekhoff,Waived,no,no
2020,2/11/2020, Assigned to the of the G-League.,Omari Spellman,Assigned,no,no
2020,2/11/2020, Signed a contract for the rest of the season with the Dallas Mavericks,Michael Kidd-Gilchrist,Signed,Dallas Mavericks,Dallas Mavericks
2022,2/11/2022, Waived by the Oklahoma City Thunder.,KZ Okpala,Waived,no,no
2022,2/11/2022, Signed a contract with the Boston Celtics,Luke Kornet,Signed,Boston Celtics,Boston Celtics
2022,2/11/2022, Recalled from the Delaware Blue Coats of the G-League.,Jaden Springer,Recalled,no,no
2022,2/11/2022, Signed a contract with the Utah Jazz,Danuel House Jr.,Signed,Utah Jazz,Utah Jazz
2022,2/11/2022, Converted from a two-way contract to a regular contract by the Boston Celtics.,Sam Hauser,Converted,no,no
2014,2/12/2014, Recalled from the of the G-League.,MarShon Brooks,Recalled,no,no
2018,2/12/2018, Signed a contract for the rest of the season with the Philadelphia 76ers,Marco Belinelli,Signed,Philadelphia 76ers,Philadelphia 76ers
2018,2/12/2018, Signed a 2nd 10-day contract with the Phoenix Suns.,Josh Gray,Signed,Phoenix Suns.,Phoenix Suns
2018,2/12/2018, Assigned to the Windy City Bulls of the G-League.,Kris Dunn,Assigned,no,no
2018,2/12/2018, Signed a contract for the rest of the season with the Houston Rockets,Brandan Wright,Signed,Houston Rockets,Houston Rockets
2018,2/12/2018, Recalled from the Windy City Bulls of the G-League.,Kris Dunn,Recalled,no,no
2018,2/12/2018, Recalled from the Windy City Bulls of the G-League.,Noah Vonleh,Recalled,no,no
2018,2/12/2018, Waived by the Houston Rockets.,Bobby Brown,Waived,no,no
2018,2/12/2018, Assigned to the Windy City Bulls of the G-League.,Noah Vonleh,Assigned,no,no
2020,2/12/2020, Signed a 10-day contract with the Phoenix Suns.,Jonah Bolden,Signed,Phoenix Suns.,Phoenix Suns
2020,2/12/2020, Converted from a two-way contract to a regular contract by the Atlanta Hawks.,Brandon Goodwin,Converted,no,no
2021,2/12/2021, Signed a two-way contract with the Houston Rockets,Ray Spalding,Signed,Houston Rockets,Houston Rockets
2022,2/12/2022, Signed a contract extension with the Dallas Mavericks,Dorian Finney-Smith,Signed,Dallas Mavericks,Dallas Mavericks
2022,2/12/2022, Assigned to the Delaware Blue Coats of the G-League.,Jaden Springer,Assigned,no,no
2022,2/12/2022, Converted from a two-way contract to a regular contract by the Oklahoma City Thunder.,Aaron Wiggins,Converted,no,no
2009,2/13/2009," Traded by the Toronto Raptors (as a future 2011 1st round draft pick) with Jamario Moon, Jermaine O'Neal and a 2010 2nd round draft pick (Da'Sean Butler was later selected) to the Miami Heat for Marcus Banks, Shawn Marion and cash. Miami also received a trade exception from Toronto.",Jonas Valančiūnas,,no,no
2017,2/13/2017," Traded by the Denver Nuggets with a 2017 1st round draft pick (Harry Giles was later selected) to the Portland Trail Blazers for Mason Plumlee, cash considerations and a 2018 2nd round draft pick (Shake Milton was later selected). (2017 1st-Rd pick sent to POR is MEM's pick)",Jusuf Nurkić,,no,no
2017,2/13/2017, Traded by the Portland Trail Blazers with cash considerations and a 2018 2nd round draft pick (Shake Milton was later selected) to the Denver Nuggets for Jusuf Nurkić and a 2017 1st round draft pick (Harry Giles was later selected). (2017 1st-Rd pick sent to POR is MEM's pick),Mason Plumlee,,no,no
2017,2/13/2017, Traded by the Portland Trail Blazers (as a future 2018 2nd round draft pick) with Mason Plumlee and cash considerations to the Denver Nuggets for Jusuf Nurkić and a 2017 1st round draft pick (Harry Giles was later selected). (2017 1st-Rd pick sent to POR is MEM's pick),Shake Milton,,no,no
2017,2/13/2017," Traded by the Denver Nuggets (as a future 2017 1st round draft pick) with Jusuf Nurkić to the Portland Trail Blazers for Mason Plumlee, cash considerations and a 2018 2nd round draft pick (Shake Milton was later selected). (2017 1st-Rd pick sent to POR is MEM's pick)",Harry Giles,,no,no
2017,2/13/2017, Recalled from the Windy City Bulls of the G-League.,Jake Layman,Recalled,no,no
2018,2/13/2018, Assigned to the of the G-League.,Naz Mitrou-Long,Assigned,no,no
2019,2/13/2019, Signed a contract for the rest of the season with the Toronto Raptors,Jeremy Lin,Signed,Toronto Raptors,Toronto Raptors
2019,2/13/2019, Signed a multi-year contract with the Memphis Grizzlies,Bruno Caboclo,Signed,Memphis Grizzlies,Memphis Grizzlies
2019,2/13/2019, Signed a contract for the rest of the season with the Portland Trail Blazers,Enes Freedom,Signed,Portland Trail Blazers,Portland Trail Blazers
2020,2/13/2020, Assigned to the Canton Charge of the G-League.,Malik Newman,Assigned,no,no
2020,2/13/2020, Assigned to the Canton Charge of the G-League.,J.P. Macura,Assigned,no,no
2021,2/13/2021, Waived by the Minnesota Timberwolves.,Ashton Hagans,Waived,no,no
2022,2/13/2022, Signed a contract with the New York Knicks,Ryan Arcidiacono,Signed,New York Knicks,New York Knicks
2011,2/14/2011, Recalled from the of the G-League.,James Johnson,Recalled,no,no
2017,2/14/2017, Signed a 2nd 10-day contract with the Golden State Warriors.,Briante Weber,Signed,Golden State Warriors.,Golden State Warriors
2017,2/14/2017, Traded by the Orlando Magic to the Toronto Raptors for Terrence Ross and a 2017 1st round draft pick (Anžejs Pasečņiks was later selected). (2017 1st-Rd pick will be less favorable of TOR & LAC picks),Serge Ibaka,Traded,no,no
2017,2/14/2017, Traded by the Toronto Raptors with a 2017 1st round draft pick (Anžejs Pasečņiks was later selected) to the Orlando Magic for Serge Ibaka. (2017 1st-Rd pick will be less favorable of TOR & LAC picks),Terrence Ross,Traded,no,no
2017,2/14/2017, Traded by the Toronto Raptors (as a future 2017 1st round draft pick) with Terrence Ross to the Orlando Magic for Serge Ibaka. (2017 1st-Rd pick will be less favorable of TOR & LAC picks),Anžejs Pasečņiks,Traded,no,no
2018,2/14/2018, Signed a 2nd 10-day contract with the New Orleans Pelicans.,Emeka Okafor,Signed,New Orleans Pelicans.,New Orleans Pelicans
2018,2/14/2018, Waived by the Houston Rockets.,Troy Williams,Waived,no,no
2018,2/14/2018, Recalled from the of the G-League.,Naz Mitrou-Long,Recalled,no,no
2018,2/14/2018, Signed a contract for the rest of the season with the Houston Rockets,Joe Johnson,Signed,Houston Rockets,Houston Rockets
2019,2/14/2019, Signed a 10-day contract with the Oklahoma City Thunder.,Scotty Hopson,Signed,Oklahoma City Thunder.,Oklahoma City Thunder
2022,2/14/2022, Converted from a two-way contract to a regular contract by the Houston Rockets.,Daishen Nix,Converted,no,no
2022,2/14/2022, Assigned to the of the G-League.,Killian Tillie,Assigned,no,no
2022,2/14/2022, Waived by the Houston Rockets.,Enes Freedom,Waived,no,no
2022,2/14/2022, Waived by the San Antonio Spurs.,Goran Dragić,Waived,no,no
2022,2/14/2022, Recalled from the Birmingham Squadron of the G-League.,Zylan Cheatham,Recalled,no,no
2021,2/15/2021, Signed a two-way contract with the Orlando Magic,Chasson Randle,Signed,Orlando Magic,Orlando Magic
2022,2/15/2022, Converted from a two-way contract to a regular contract by the Miami Heat.,Caleb Martin,Converted,no,no
2022,2/15/2022, Assigned to the Rio Grande Valley Vipers of the G-League.,Daishen Nix,Assigned,no,no
2022,2/15/2022, Signed a two-way contract with the Miami Heat,Javonte Smart,Signed,Miami Heat,Miami Heat
2022,2/15/2022, Signed a contract extension with the Minnesota Timberwolves,Patrick Beverley,Signed,Minnesota Timberwolves,Minnesota Timberwolves
2022,2/15/2022, Signed a 2nd 10-day contract with the Miami Heat.,Haywood Highsmith,Signed,Miami Heat.,Miami Heat
2006,2/16/2006, Assigned to the Florida Flame of the G-League.,Gerald Green,Assigned,no,no
2016,2/16/2016, Traded by the Detroit Pistons with Ersan İlyasova to the Orlando Magic for Tobias Harris.,Brandon Jennings,Traded,no,no
2016,2/16/2016," As part of a 3-team trade, traded by the Memphis Grizzlies to the Charlotte Hornets",Courtney Lee,As,no,no
2016,2/16/2016," As part of a 3-team trade, traded by the Charlotte Hornets (as a future 2018 2nd round draft pick) with P.J. Hairston and a 2019 2nd round draft pick (Talen Horton-Tucker was later selected) to the Memphis Grizzlies",Jarred Vanderbilt,As,no,no
2016,2/16/2016, Traded by the Orlando Magic to the Detroit Pistons for Ersan İlyasova and Brandon Jennings.,Tobias Harris,Traded,no,no
2016,2/16/2016," As part of a 3-team trade, traded by the Charlotte Hornets (as a future 2019 2nd round draft pick) with P.J. Hairston and a 2018 2nd round draft pick (Jarred Vanderbilt was later selected) to the Memphis Grizzlies",Talen Horton-Tucker,As,no,no
2016,2/16/2016, Traded by the Detroit Pistons with Brandon Jennings to the Orlando Magic for Tobias Harris.,Ersan İlyasova,Traded,no,no
2016,2/16/2016," As part of a 3-team trade, traded by the Miami Heat (as a future 2018 2nd round draft pick) with Chris Andersen and a 2019 2nd round draft pick to the Memphis Grizzlies",De'Anthony Melton,As,no,no
2017,2/16/2017, Assigned to the of the G-League.,Okaro White,Assigned,no,no
2017,2/16/2017, Assigned to the of the G-League.,Marcus Georges-Hunt,Assigned,no,no
2020,2/16/2020, Announced retirement.,Marcin Gortat,Announced,no,no
2021,2/16/2021, Signed a contract with the Brooklyn Nets,Andre Roberson,Signed,Brooklyn Nets,Brooklyn Nets
2022,2/16/2022, Signed a contract with the Milwaukee Bucks,DeAndre' Bembry,Signed,Milwaukee Bucks,Milwaukee Bucks
2022,2/16/2022, Signed a two-way contract with the Utah Jazz,Xavier Sneed,Signed,Utah Jazz,Utah Jazz
2012,2/17/2012, Signed as a free agent with the New York Knicks.,J.R. Smith,Signed,New York Knicks.,New York Knicks
2017,2/17/2017, Assigned to the of the G-League.,Briante Weber,Assigned,no,no
2021,2/17/2021, Assigned to the of the G-League.,Nick Richards,Assigned,no,no
2021,2/17/2021, Assigned to the of the G-League.,Josh Green,Assigned,no,no
2022,2/17/2022, Waived by the Sacramento Kings.,Louis King,Waived,no,no
2022,2/17/2022, Waived by the Indiana Pacers.,Tristan Thompson,Waived,no,no
2010,2/18/2010, Traded by the Charlotte Bobcats (as a future 2014 1st round draft pick) with Acie Law and Ronald Murray to the Chicago Bulls for Tyrus Thomas.,Jusuf Nurkić,Traded,no,no
2010,2/18/2010," Traded by the Milwaukee Bucks with Francisco Elson to the Philadelphia 76ers for Primož Brezec, Royal Ivey and a 2010 2nd round draft pick (Darington Hobson was later selected).",Jodie Meeks,Traded,no,no
2010,2/18/2010," Traded by the Chicago Bulls (as a future 2011 2nd round draft pick) with John Salmons, a 2010 1st round draft pick (Larry Sanders was later selected) and a 2012 2nd round draft pick (Robert Sacre was later selected) to the Milwaukee Bucks for Joe Alexander, Hakim Warrick and a 2010 1st round draft pick (Kevin Séraphin was later selected).",Isaiah Thomas,,no,no
2010,2/18/2010, Traded by the Memphis Grizzlies (as a future 2011 1st round draft pick) to the Utah Jazz for Ronnie Brewer.,Donatas Motiejūnas,Traded,no,no
2016,2/18/2016," Traded by the Oklahoma City Thunder with Steve Novak, a 2016 2nd round draft pick (Petr Cornelie was later selected) and a 2016 2nd round draft pick (Daniel Hamilton was later selected) to the Denver Nuggets for Randy Foye. (2016 2nd-rd picks from OKC to DEN are OKC pick and bottom-5 protected CHO pick)",D.J. Augustin,,no,no
2016,2/18/2016," As part of a 3-team trade, traded by the Utah Jazz (as a future 2018 2nd round draft pick) to the Chicago Bulls",Svi Mykhailiuk,As,no,no
2016,2/18/2016, Traded by the Los Angeles Clippers (as a future 2019 1st round draft pick) with Lance Stephenson to the Memphis Grizzlies for Jeff Green. (1st-rd pick from LAC to MEM will convey 2 years after LAC sends pick to TOR and is lottery protected),Matisse Thybulle,Traded,no,no
2016,2/18/2016, Recalled from the Bakersfield Jam of the G-League.,Jordan McRae,Recalled,no,no
2016,2/18/2016," As part of a 3-team trade, traded by the Atlanta Hawks to the Chicago Bulls",Justin Holiday,As,no,no
2016,2/18/2016, Traded by the Los Angeles Clippers with a 2019 1st round draft pick (Matisse Thybulle was later selected) to the Memphis Grizzlies for Jeff Green. (1st-rd pick from LAC to MEM will convey 2 years after LAC sends pick to TOR and is lottery protected),Lance Stephenson,Traded,no,no
2016,2/18/2016, Waived by the Philadelphia 76ers.,JaKarr Sampson,Waived,no,no
2016,2/18/2016," As part of a 3-team trade, traded by the Orlando Magic to the Cleveland Cavaliers",Channing Frye,As,no,no
2016,2/18/2016," As part of a 3-team trade, traded by the Atlanta Hawks to the Utah Jazz",Shelvin Mack,As,no,no
2016,2/18/2016, Traded by the Washington Wizards (as a future 2016 1st round draft pick) with DeJuan Blair and Kris Humphries to the Phoenix Suns for Markieff Morris. (2016 1st-Rd pick is top-9 protected),Georgios Papagiannis,Traded,no,no
2016,2/18/2016," As part of a 3-team trade, traded by the Portland Trail Blazers (as a future 2020 2nd round draft pick) to the Orlando Magic",Vernon Carey Jr.,As,no,no
2016,2/18/2016, Waived by the Portland Trail Blazers.,Anderson Varejão,Waived,no,no
2016,2/18/2016," As part of a 3-team trade, traded by the Cleveland Cavaliers (as a future 2018 1st round draft pick) with Anderson Varejão to the Portland Trail Blazers",Moritz Wagner,As,no,no
2016,2/18/2016," Traded by the Oklahoma City Thunder (as a future 2016 2nd round draft pick) with D.J. Augustin, Steve Novak and a 2016 2nd round draft pick (Petr Cornelie was later selected) to the Denver Nuggets for Randy Foye. (2016 2nd-rd picks from OKC to DEN are OKC pick and bottom-5 protected CHO pick)",Daniel Hamilton,,no,no
2016,2/18/2016," Traded by the Oklahoma City Thunder (as a future 2016 2nd round draft pick) with D.J. Augustin, Steve Novak and a 2016 2nd round draft pick (Daniel Hamilton was later selected) to the Denver Nuggets for Randy Foye. (2016 2nd-rd picks from OKC to DEN are OKC pick and bottom-5 protected CHO pick)",Petr Cornelie,,no,no
2016,2/18/2016, Traded by the Miami Heat (as a future 2021 2nd round draft pick) with Brian Roberts to the Portland Trail Blazers for cash considerations.,Sharife Cooper,Traded,no,no
2016,2/18/2016, Traded by the Memphis Grizzlies to the Los Angeles Clippers for Lance Stephenson and a 2019 1st round draft pick (Matisse Thybulle was later selected). (1st-rd pick from LAC to MEM will convey 2 years after LAC sends pick to TOR and is lottery protected),Jeff Green,Traded,no,no
2016,2/18/2016, Waived by the Portland Trail Blazers.,Tim Frazier,Waived,no,no
2016,2/18/2016," Traded by the Phoenix Suns to the Washington Wizards for DeJuan Blair, Kris Humphries and a 2016 1st round draft pick (Georgios Papagiannis was later selected). (2016 1st-Rd pick is top-9 protected)",Markieff Morris,Traded,no,no
2016,2/18/2016," As part of a 3-team trade, traded by the Cleveland Cavaliers with a 2018 1st round draft pick (Moritz Wagner was later selected) to the Portland Trail Blazers",Anderson Varejão,As,no,no
2019,2/18/2019, Signed a 2nd 10-day contract with the Sacramento Kings.,Corey Brewer,Signed,Sacramento Kings.,Sacramento Kings
2020,2/18/2020, Waived by the Detroit Pistons.,Reggie Jackson,Waived,no,no
2020,2/18/2020, Assigned to the of the G-League.,KZ Okpala,Assigned,no,no
2020,2/18/2020, Signed a 10-day contract with the Houston Rockets.,Jeff Green,Signed,Houston Rockets.,Houston Rockets
2020,2/18/2020, Waived by the San Antonio Spurs.,DeMarre Carroll,Waived,no,no
2003,2/19/2003," Traded by the Orlando Magic (as a future 2003 1st round draft pick) with Ryan Humphrey, Mike Miller and a 2004 2nd round draft pick (Sergei Lishouk was later selected) to the Memphis Grizzlies for Gordan Giriček and Drew Gooden.",Kendrick Perkins,Traded,no,no
2004,2/19/2004," Traded by the Phoenix Suns (as a future 2010 1st round draft pick) with Tom Gugliotta, a 2004 1st round draft pick (Kirk Snyder was later selected) and a 2005 2nd round draft pick (Alex Acker was later selected) to the Utah Jazz for Keon Clark and Ben Handlogten.",Gordon Hayward,,no,no
2004,2/19/2004," As part of a 3-team trade, traded by the Detroit Pistons (as a future 2004 1st round draft pick) with Željko Rebrača and Bob Sura to the Atlanta Hawks",Josh Smith,As,no,no
2004,2/19/2004," As part of a 3-team trade, traded by the Detroit Pistons (as a future 2004 1st round draft pick) with Chucky Atkins and Lindsey Hunter to the Boston Celtics",Tony Allen,As,no,no
2008,2/19/2008," Traded by the Dallas Mavericks with Maurice Ager, DeSagana Diop, Trenton Hassell, Keith Van Horn, a 2008 1st round draft pick (Ryan Anderson was later selected) and a 2010 1st round draft pick (Jordan Crawford was later selected) to the New Jersey Nets for Malik Allen, Jason Kidd and Antoine Wright.",Devin Harris,,no,no
2008,2/19/2008," Traded by the Dallas Mavericks (as a future 2010 1st round draft pick) with Maurice Ager, DeSagana Diop, Devin Harris, Trenton Hassell, Keith Van Horn and a 2008 1st round draft pick (Ryan Anderson was later selected) to the New Jersey Nets for Malik Allen, Jason Kidd and Antoine Wright.",Jordan Crawford,,no,no
2008,2/19/2008," Traded by the Dallas Mavericks (as a future 2008 1st round draft pick) with Maurice Ager, DeSagana Diop, Devin Harris, Trenton Hassell, Keith Van Horn and a 2010 1st round draft pick (Jordan Crawford was later selected) to the New Jersey Nets for Malik Allen, Jason Kidd and Antoine Wright.",Ryan Anderson,,no,no
2009,2/19/2009," As part of a 3-team trade, traded by the Memphis Grizzlies to the Houston Rockets",Kyle Lowry,As,no,no
2009,2/19/2009," As part of a 3-team trade, traded by the Orlando Magic (as a future 2009 1st round draft pick) with Adonal Foyle and Mike Wilks to the Memphis Grizzlies",DeMarre Carroll,As,no,no
2009,2/19/2009, Traded by the Oklahoma City Thunder (as a future 2009 1st round draft pick) to the Chicago Bulls for Thabo Sefolosha.,Taj Gibson,Traded,no,no
2009,2/19/2009, Traded by the Sacramento Kings with Shelden Williams to the Minnesota Timberwolves for Calvin Booth and Rashad McCants.,Bobby Brown,Traded,no,no
2009,2/19/2009, Traded by the Chicago Bulls to the Oklahoma City Thunder for a 2009 1st round draft pick (Taj Gibson was later selected).,Thabo Sefolosha,Traded,no,no
2014,2/19/2014, Traded by the Golden State Warriors with MarShon Brooks to the Los Angeles Lakers for Steve Blake.,Kent Bazemore,Traded,no,no
2014,2/19/2014, Traded by the Golden State Warriors with Kent Bazemore to the Los Angeles Lakers for Steve Blake.,MarShon Brooks,Traded,no,no
2014,2/19/2014, Traded by the Brooklyn Nets with Reggie Evans to the Sacramento Kings for Marcus Thornton.,Jason Terry,Traded,no,no
2015,2/19/2015," As part of a 3-team trade, traded by the Detroit Pistons (as a future 2017 2nd round draft pick) to the Utah Jazz",Thomas Bryant,As,no,no
2015,2/19/2015, Traded by the Sacramento Kings to the Washington Wizards for Andre Miller.,Ramon Sessions,Traded,no,no
