Year,Date,Transaction,Player,Type,New Team,NewTeamWFormat
2017,4/10/2017, Signed a multi-year contract with the New Orleans Pelicans,Axel Toupane,Signed,New Orleans Pelicans,New Orleans Pelicans
2017,4/10/2017, Assigned to the Raptors 905 of the G-League.,Axel Toupane,Assigned,no,no
2018,4/10/2018, Signed a contract for the rest of the season with the Cleveland Cavaliers,Kendrick Perkins,Signed,Cleveland Cavaliers,Cleveland Cavaliers
2018,4/10/2018, Signed a multi-year contract with the Golden State Warriors,Quinn Cook,Signed,Golden State Warriors,Golden State Warriors
2019,4/10/2019, Announced retirement.,Channing Frye,Announced,no,no
2019,4/10/2019, Signed a multi-year contract with the Miami Heat,Kendrick Nunn,Signed,Miami Heat,Miami Heat
2019,4/10/2019, Converted from a two-way contract to a regular contract by the Brooklyn Nets.,Theo Pinson,Converted,no,no
2019,4/10/2019, Announced retirement.,Dwyane Wade,Announced,no,no
2019,4/10/2019, Announced retirement. (Announced he would retire at the end of the 2018-19 season on 4/9/19.),Dirk Nowitzki,Announced,no,no
2021,4/10/2021, Signed a multi-year contract with the Oklahoma City Thunder,Gabriel Deck,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2021,4/10/2021, Signed a contract for the rest of the season with the Toronto Raptors,Khem Birch,Signed,Toronto Raptors,Toronto Raptors
2021,4/10/2021, Signed a 10-day contract with the Cleveland Cavaliers.,Mfiondu Kabengele,Signed,Cleveland Cavaliers.,Cleveland Cavaliers
2022,4/10/2022, Converted from a two-way contract to a regular contract by the Utah Jazz.,Trent Forrest,Converted,no,no
2022,4/10/2022, Converted from a two-way contract to a regular contract by the Phoenix Suns.,Ish Wainright,Converted,no,no
2022,4/10/2022, Signed a two-way contract with the Cleveland Cavaliers,RJ Nembhard Jr.,Signed,Cleveland Cavaliers,Cleveland Cavaliers
2022,4/10/2022, Signed a contract with the Orlando Magic,Devin Cannady,Signed,Orlando Magic,Orlando Magic
2022,4/10/2022, Converted from a two-way contract to a regular contract by the Brooklyn Nets.,Kessler Edwards,Converted,no,no
2011,4/11/2011, Waived by the Houston Rockets.,DeMarre Carroll,Waived,no,no
2016,4/11/2016, Assigned to the Canton Charge of the G-League.,Jordan McRae,Assigned,no,no
2016,4/11/2016, Signed a multi-year contract with the Boston Celtics,John Holland,Signed,Boston Celtics,Boston Celtics
2016,4/11/2016, Recalled from the Canton Charge of the G-League.,Jordan McRae,Recalled,no,no
2017,4/11/2017, Signed a contract with the Philadelphia 76ers,Alex Poythress,Signed,Philadelphia 76ers,Philadelphia 76ers
2017,4/11/2017, Claimed on waivers by the Dallas Mavericks from the Cleveland Cavaliers,DeAndre Liggins,Claimed,allas Mavericks from the Cleve,allas Mavericks from the Cleve
2017,4/11/2017, Recalled from the Raptors 905 of the G-League.,Axel Toupane,Recalled,no,no
2018,4/11/2018, Converted from a two-way contract to a regular contract by the Minnesota Timberwolves.,Amile Jefferson,Converted,no,no
2018,4/11/2018, Signed a contract for the rest of the season with the Houston Rockets,Aaron Jackson,Signed,Houston Rockets,Houston Rockets
2018,4/11/2018, Waived by the Houston Rockets.,Tim Quarterman,Waived,no,no
2021,4/11/2021, Signed a 2nd 10-day contract with the Indiana Pacers.,Oshae Brissett,Signed,Indiana Pacers.,Indiana Pacers
2021,4/11/2021, Signed as a free agent with the Brooklyn Nets.,Alize Johnson,Signed,Brooklyn Nets.,Brooklyn Nets
2015,4/12/2015, Signed a multi-year contract with the Sacramento Kings,David Stockton,Signed,Sacramento Kings,Sacramento Kings
2016,4/12/2016, Assigned to the Canton Charge of the G-League.,Jordan McRae,Assigned,no,no
2021,4/12/2021, Waived by the New Orleans Pelicans.,Will Magnay,Waived,no,no
2021,4/12/2021, Signed a 10-day contract with the Orlando Magic.,Robert Franks,Signed,Orlando Magic.,Orlando Magic
2021,4/12/2021, Signed a two-way contract with the New Orleans Pelicans,James Nunnally,Signed,New Orleans Pelicans,New Orleans Pelicans
2021,4/12/2021, Signed a 10-day contract with the Philadelphia 76ers.,Anthony Tolliver,Signed,Philadelphia 76ers.,Philadelphia 76ers
2021,4/12/2021, Signed a 2nd 10-day contract with the New York Knicks.,Norvel Pelle,Signed,New York Knicks.,New York Knicks
2015,4/13/2015, Signed a contract for the rest of the season with the Los Angeles Lakers,Vander Blue,Signed,Los Angeles Lakers,Los Angeles Lakers
2016,4/13/2016, Recalled from the Canton Charge of the G-League.,Jordan McRae,Recalled,no,no
2016,4/13/2016, Signed a multi-year contract with the Detroit Pistons,Lorenzo Brown,Signed,Detroit Pistons,Detroit Pistons
2019,4/13/2019, Recalled from the of the G-League.,Michael Frazier,Recalled,no,no
2021,4/13/2021, Waived by the Orlando Magic.,Karim Mané,Waived,no,no
2021,4/13/2021, Signed a 10-day contract with the Orlando Magic.,Donta Hall,Signed,Orlando Magic.,Orlando Magic
2021,4/13/2021, Signed a two-way contract with the Portland Trail Blazers,T.J. Leaf,Signed,Portland Trail Blazers,Portland Trail Blazers
2021,4/13/2021, Waived by the Orlando Magic.,Devin Cannady,Waived,no,no
2014,4/14/2014, Recalled from the Reno Bighorns of the G-League.,Willie Reed,Recalled,no,no
2014,4/14/2014, Suspended by the league. (1-game suspension),DeMarcus Cousins,Suspended,no,no
2020,4/14/2020, Announced retirement.,Trevor Booker,Announced,no,no
2021,4/14/2021, Converted from a two-way contract to a regular contract by the Cleveland Cavaliers.,Lamar Stevens,Converted,no,no
2021,4/14/2021, Signed a 10-day contract with the Memphis Grizzlies.,Tim Frazier,Signed,Memphis Grizzlies.,Memphis Grizzlies
2021,4/14/2021, Signed a 10-day contract with the Washington Wizards.,Jordan Bell,Signed,Washington Wizards.,Washington Wizards
2014,4/15/2014, Recalled from the Canton Charge of the G-League.,Scotty Hopson,Recalled,no,no
2021,4/15/2021, Announced retirement.,LaMarcus Aldridge,Announced,no,no
2021,4/15/2021, Signed a 2nd 10-day contract with the Oklahoma City Thunder.,Justin Robinson,Signed,Oklahoma City Thunder.,Oklahoma City Thunder
2022,4/15/2022, Recalled from the Rio Grande Valley Vipers of the G-League.,Daishen Nix,Recalled,no,no
2022,4/15/2022, Recalled from the Delaware Blue Coats of the G-League.,Jaden Springer,Recalled,no,no
2014,4/16/2014, Suspended by the league. (1-game suspension),Blake Griffin,Suspended,no,no
2021,4/16/2021, Waived by the Boston Celtics.,Moritz Wagner,Waived,no,no
2021,4/16/2021, Signed as a free agent with the Boston Celtics.,Jabari Parker,Signed,Boston Celtics.,Boston Celtics
2021,4/16/2021, Signed a 2nd 10-day contract with the Los Angeles Clippers.,DeMarcus Cousins,Signed,Los Angeles Clippers.,Los Angeles Clippers
2021,4/16/2021, Signed a two-way contract with the Orlando Magic,Devin Cannady,Signed,Orlando Magic,Orlando Magic
2006,4/17/2006, Recalled from the Tulsa 66ers of the G-League.,Ersan İlyasova,Recalled,no,no
2008,4/17/2008, Assigned to the Idaho Stampede of the G-League.,Josh McRoberts,Assigned,no,no
2021,4/17/2021, Signed a 2nd 10-day contract with the Sacramento Kings.,Damian Jones,Signed,Sacramento Kings.,Sacramento Kings
2021,4/18/2021, Signed a 2nd 10-day contract with the Toronto Raptors.,Freddie Gillespie,Signed,Toronto Raptors.,Toronto Raptors
2021,4/18/2021, Signed a 2nd 10-day contract with the Portland Trail Blazers.,Rondae Hollis-Jefferson,Signed,Portland Trail Blazers.,Portland Trail Blazers
2021,4/18/2021, Converted from a two-way contract to a regular contract by the Toronto Raptors.,Yuta Watanabe,Converted,no,no
2021,4/19/2021, Signed a 2nd 10-day contract with the Golden State Warriors.,Gary Payton II,Signed,Golden State Warriors.,Golden State Warriors
