GameId,Season,Date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,Home_team,Away_team,hm_date_id
22100014,2021-22 Regular Season,10/21/2021,Kristaps Porzingis,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Clint Capela,John Collins,Bogdan Bogdanovic,De'Andre Hunter,Trae Young,ATL,DAL,ATL-10-21-2021
22100015,2021-22 Regular Season,10/21/2021,Giannis Antetokounmpo,George Hill,Khris Middleton,Pat Connaughton,Grayson Allen,Bam Adebayo,Kyle Lowry,P.J. Tucker,Duncan Robinson,Jimmy Butler,MIA,MIL,MIA-10-21-2021
22100016,2021-22 Regular Season,10/21/2021,Ivica Zubac,Eric Bledsoe,Reggie Jackson,Paul George,Marcus Morris Sr.,Kevon Looney,Jordan Poole,Stephen Curry,Draymond Green,Andrew Wiggins,GSW,LAC,GSW-10-21-2021
22100017,2021-22 Regular Season,10/22/2021,Mason Plumlee,Miles Bridges,LaMelo Ball,Terry Rozier,Gordon Hayward,Jarrett Allen,Lauri Markkanen,Evan Mobley,Ricky Rubio,Collin Sexton,CLE,CHA,CLE-10-22-2021
22100018,2021-22 Regular Season,10/22/2021,Mitchell Robinson,RJ Barrett,Julius Randle,Kemba Walker,Evan Fournier,Mo Bamba,Cole Anthony,Franz Wagner,Wendell Carter Jr.,Jalen Suggs,ORL,NYK,ORL-10-22-2021
22100019,2021-22 Regular Season,10/22/2021,Myles Turner,Domantas Sabonis,Malcolm Brogdon,Chris Duarte,Justin Holiday,Daniel Gafford,Kentavious Caldwell-Pope,Aaron Holiday,Spencer Dinwiddie,Kyle Kuzma,WAS,IND,WAS-10-22-2021
22100020,2021-22 Regular Season,10/22/2021,Precious Achiuwa,Gary Trent Jr.,Scottie Barnes,Fred VanVleet,OG Anunoby,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,BOS,TOR,BOS-10-22-2021
22100021,2021-22 Regular Season,10/22/2021,Nic Claxton,James Harden,Blake Griffin,Kevin Durant,Joe Harris,Joel Embiid,Seth Curry,Danny Green,Tobias Harris,Tyrese Maxey,PHI,BKN,PHI-10-22-2021
22100022,2021-22 Regular Season,10/22/2021,Jonas Valanciunas,Brandon Ingram,Devonte' Graham,Herbert Jones,Nickeil Alexander-Walker,Nikola Vucevic,Lonzo Ball,Patrick Williams,DeMar DeRozan,Zach LaVine,CHI,NOP,CHI-10-22-2021
22100023,2021-22 Regular Season,10/22/2021,Isaiah Roby,Darius Bazley,Shai Gilgeous-Alexander,Josh Giddey,Luguentz Dort,Christian Wood,Daniel Theis,Jae'Sean Tate,Kevin Porter Jr.,Jalen Green,HOU,OKC,HOU-10-22-2021
22100024,2021-22 Regular Season,10/22/2021,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Derrick White,Nikola Jokic,Aaron Gordon,Will Barton,Michael Porter Jr.,Monte Morris,DEN,SAS,DEN-10-22-2021
22100025,2021-22 Regular Season,10/22/2021,Deandre Ayton,Jae Crowder,Chris Paul,Devin Booker,Mikal Bridges,DeAndre Jordan,Anthony Davis,LeBron James,Russell Westbrook,Kent Bazemore,LAL,PHX,LAL-10-22-2021
22100026,2021-22 Regular Season,10/22/2021,Rudy Gobert,Bojan Bogdanovic,Donovan Mitchell,Mike Conley,Royce O'Neale,Richaun Holmes,Terence Davis,Harrison Barnes,De'Aaron Fox,Tyrese Haliburton,SAC,UTA,SAC-10-22-2021
22100027,2021-22 Regular Season,10/23/2021,Clint Capela,De'Andre Hunter,Bogdan Bogdanovic,Trae Young,John Collins,Jarrett Allen,Evan Mobley,Ricky Rubio,Collin Sexton,Lauri Markkanen,CLE,ATL,CLE-10-23-2021
22100028,2021-22 Regular Season,10/23/2021,Bam Adebayo,P.J. Tucker,Duncan Robinson,Jimmy Butler,Gabe Vincent,Myles Turner,Justin Holiday,Domantas Sabonis,Malcolm Brogdon,Chris Duarte,IND,MIA,IND-10-23-2021
22100029,2021-22 Regular Season,10/23/2021,Kristaps Porzingis,Dwight Powell,Luka Doncic,Tim Hardaway Jr.,Dorian Finney-Smith,Precious Achiuwa,Scottie Barnes,OG Anunoby,Fred VanVleet,Gary Trent Jr.,TOR,DAL,TOR-10-23-2021
22100030,2021-22 Regular Season,10/23/2021,Isaiah Stewart,Killian Hayes,Saddiq Bey,Jerami Grant,Frank Jackson,Nikola Vucevic,DeMar DeRozan,Lonzo Ball,Zach LaVine,Patrick Williams,CHI,DET,CHI-10-23-2021
22100031,2021-22 Regular Season,10/23/2021,Jonas Valanciunas,Devonte' Graham,Herbert Jones,Nickeil Alexander-Walker,Brandon Ingram,Karl-Anthony Towns,D'Angelo Russell,Jaden McDaniels,Anthony Edwards,Josh Okogie,MIN,NOP,MIN-10-23-2021
22100032,2021-22 Regular Season,10/23/2021,Giannis Antetokounmpo,Khris Middleton,Grayson Allen,Pat Connaughton,Jrue Holiday,Jakob Poeltl,Dejounte Murray,Derrick White,Keldon Johnson,Doug McDermott,SAS,MIL,SAS-10-23-2021
22100033,2021-22 Regular Season,10/23/2021,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,Jusuf Nurkic,Norman Powell,CJ McCollum,Damian Lillard,Robert Covington,POR,PHX,POR-10-23-2021
22100034,2021-22 Regular Season,10/23/2021,Steven Adams,Jaren Jackson Jr.,Ja Morant,Desmond Bane,De'Anthony Melton,Ivica Zubac,Marcus Morris Sr.,Paul George,Reggie Jackson,Eric Bledsoe,LAC,MEM,LAC-10-23-2021
22100035,2021-22 Regular Season,10/24/2021,Mason Plumlee,LaMelo Ball,Kelly Oubre Jr.,Gordon Hayward,Miles Bridges,Nic Claxton,Jevon Carter,James Harden,Joe Harris,Kevin Durant,BKN,CHA,BKN-10-24-2021
